filename,width,height,class,xmin,ymin,xmax,ymax
image_1.png,300,168,input,78,49,291,82
image_1.png,300,168,input,78,87,292,120
image_1.png,300,168,text,9,53,72,74
image_1.png,300,168,text,8,86,67,108
image_1.png,300,168,text,8,24,157,40
image_10.jpg,433,115,input,48,16,168,40
image_10.jpg,433,115,input,263,15,433,52
image_10.jpg,433,115,input,52,44,165,64
image_10.jpg,433,115,input,52,69,115,93
image_10.jpg,433,115,input,264,57,325,77
image_10.jpg,433,115,input,263,84,379,102
image_10.jpg,433,115,text,3,18,34,38
image_10.jpg,433,115,text,1,47,47,62
image_10.jpg,433,115,text,2,72,35,88
image_10.jpg,433,115,text,215,16,262,44
image_10.jpg,433,115,text,213,56,241,77
image_10.jpg,433,115,text,213,86,246,102
image_11.jpg,401,291,input,53,9,171,32
image_11.jpg,401,291,input,56,37,171,57
image_11.jpg,401,291,input,55,64,119,83
image_11.jpg,401,291,input,56,88,228,124
image_11.jpg,401,291,input,56,129,122,149
image_11.jpg,401,291,input,53,152,171,173
image_11.jpg,401,291,input,107,203,172,226
image_11.jpg,401,291,input,109,232,174,254
image_11.jpg,401,291,input,107,258,171,279
image_11.jpg,401,291,input,320,231,382,253
image_11.jpg,401,291,input,321,259,384,277
image_11.jpg,401,291,text,6,11,40,29
image_11.jpg,401,291,text,6,40,53,55
image_11.jpg,401,291,text,4,66,38,83
image_11.jpg,401,291,text,5,92,54,108
image_11.jpg,401,291,text,5,125,36,150
image_11.jpg,401,291,text,9,155,39,176
image_11.jpg,401,291,text,4,204,92,226
image_11.jpg,401,291,text,3,235,87,253
image_11.jpg,401,291,text,3,260,89,279
image_12.jpg,446,310,input,59,22,174,44
image_12.jpg,446,310,input,59,46,172,71
image_12.jpg,446,310,input,58,75,130,94
image_12.jpg,446,310,input,58,100,226,135
image_12.jpg,446,310,input,58,141,126,161
image_12.jpg,446,310,input,59,166,175,187
image_12.jpg,446,310,input,112,215,174,239
image_12.jpg,446,310,input,111,244,176,267
image_12.jpg,446,310,input,110,271,175,291
image_12.jpg,446,310,input,323,240,386,265
image_12.jpg,446,310,input,323,270,387,292
image_12.jpg,446,310,text,12,24,42,42
image_12.jpg,446,310,text,12,51,56,68
image_12.jpg,446,310,text,12,78,40,97
image_12.jpg,446,310,text,12,104,57,121
image_12.jpg,446,310,text,11,141,40,160
image_12.jpg,446,310,text,12,167,41,187
image_12.jpg,446,310,text,11,221,95,240
image_12.jpg,446,310,text,11,246,86,262
image_12.jpg,446,310,text,12,271,93,289
image_12.jpg,446,310,text,219,243,287,263
image_12.jpg,446,310,text,217,273,289,289
image_13.jpg,237,203,text,1,4,33,22
image_13.jpg,237,203,text,1,32,48,49
image_13.jpg,237,203,text,1,60,32,79
image_13.jpg,237,203,text,2,85,46,105
image_13.jpg,237,203,text,2,113,49,127
image_13.jpg,237,203,text,2,154,31,170
image_13.jpg,237,203,text,2,179,35,199
image_13.jpg,237,203,text,56,86,97,103
image_13.jpg,237,203,text,132,87,172,102
image_13.jpg,237,203,input,54,4,176,25
image_13.jpg,237,203,input,54,31,175,50
image_13.jpg,237,203,input,55,57,122,80
image_13.jpg,237,203,input,55,109,233,147
image_13.jpg,237,203,input,54,151,122,171
image_13.jpg,237,203,input,54,177,175,198
image_14.jpg,762,225,input,89,7,291,45
image_14.jpg,762,225,input,91,54,287,89
image_14.jpg,762,225,input,92,100,196,134
image_14.jpg,762,225,input,457,7,751,66
image_14.jpg,762,225,input,459,75,570,107
image_14.jpg,762,225,input,459,121,665,159
image_14.jpg,762,225,text,3,8,60,45
image_14.jpg,762,225,text,1,54,75,91
image_14.jpg,762,225,text,2,103,51,130
image_14.jpg,762,225,text,2,148,68,178
image_14.jpg,762,225,text,93,147,159,175
image_14.jpg,762,225,text,223,146,283,176
image_14.jpg,762,225,text,375,4,445,47
image_14.jpg,762,225,text,372,79,420,111
image_14.jpg,762,225,text,366,121,426,152
image_14.jpg,762,225,text,2,191,156,223
image_14.jpg,762,225,text,186,189,220,218
